exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,AP,AP,2611,8200.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010517362519946352
CZCE,AP,AP,2611,8300.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016715709627384368
CZCE,AP,AP,2611,8400.0,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024980172437301723
CZCE,AP,AP,2611,8500.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003324463524721908
CZCE,AP,AP,2611,8600.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004770744516457445
CZCE,AP,AP,2611,8700.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008696364351168188
CZCE,AP,AP,2611,8800.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01406826517761447
CZCE,AP,AP,2611,8900.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010555868483399594
CZCE,AP,AP,2611,9000.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00828314121067232
CZCE,AP,AP,2611,9100.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024980172437301723
CZCE,AP,AP,2611,9200.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004150909805713644
CZCE,AP,AP,2611,9300.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003737686665217776
CZCE,AP,AP,2611,9400.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012828595756126866
CZCE,AP,AP,2611,9500.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005390579227201247
CZCE,AP,AP,2611,9600.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005597190797449181
CZCE,AP,AP,2611,9700.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008902975921416123
CZCE,AP,AP,2611,9800.0,236.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04919223211976323
CZCE,AP,AP,2701,6500.0,1.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004977356086705379
CZCE,AP,AP,2701,6600.0,3.0,133.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02853107509496984
CZCE,AP,AP,2701,6700.0,3.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00663024864868885
CZCE,AP,AP,2701,6800.0,3.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005390579227201247
CZCE,AP,AP,2701,6900.0,11.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004770744516457445
CZCE,AP,AP,2701,7000.0,6.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006010413937945048
CZCE,AP,AP,2701,7100.0,4.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394429823546571
CZCE,AP,AP,2701,7200.0,3.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043575213759615775
CZCE,AP,AP,2701,7300.0,4.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005183967656953313
CZCE,AP,AP,2701,7400.0,9.0,26.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076633064999285195
CZCE,AP,AP,2701,7500.0,33.0,29.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013241818896622735
CZCE,AP,AP,2701,7600.0,40.0,18.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012415372615630998
CZCE,AP,AP,2701,7700.0,26.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009109587491664057
CZCE,AP,AP,2701,7800.0,24.0,12.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007869918070176453
CZCE,AP,AP,2701,7900.0,37.0,15.0,52.0,1.0,0.0,1.0,1720.0,0.0,1720.0,0.02878113015144767
CZCE,AP,AP,2701,8000.0,26.0,14.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008696364351168188
CZCE,AP,AP,2701,8100.0,53.0,10.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013448430466870668
