trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value
2026-07-29,COMMODITY,COMMODITY,SM,SM,SM,CZCE,2612,5770.0,,,6300.0,5600.0,,,5600.0,,,233.0,0.0,0.0,,,,,,,,-0.029462738301559765,,SM612,5770.0,8471.0,30907.0,387.0,244303640.0,2.3999999999999997e-05,5200.0,5200.0,0.09185441941074513,-0.029462738301559765,-0.098786828422877,-0.098786828422877,149.0,84.0,0.27896995708154504,700.0,0.12131715771230503,put_oi_wall,5600.0,-0.029462738301559765,above_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,SM,SM,SM,CZCE,2701,5786.0,,,6400.0,5800.0,,,6400.0,,,7469.0,232.0,70610.0,,,,,,,,0.10611821638437613,,SM701,5786.0,16935.0,55877.0,4902.0,489590850.0,3.1e-05,6400.0,6400.0,0.10611821638437613,0.0024196335983408535,0.10611821638437613,0.10611821638437613,4571.0,2898.0,0.22399250234301782,600.0,0.10369858278603526,put_oi_wall,5800.0,0.0024196335983408535,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,SR,SR,SR,CZCE,2609,5120.0,,,5500.0,5200.0,,,5200.0,,,404270.0,164808.0,45604545.0,,,,,,,,0.015625,,SR609,5120.0,476198.0,598260.0,-16937.0,24348004000.0,-6e-05,5100.0,5100.0,0.07421875,0.015625,-0.00390625,-0.00390625,281758.0,122512.0,0.3939100106364558,300.0,0.05859375,volume_wall,5100.0,-0.00390625,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,SR,SR,SR,CZCE,2611,5139.0,,,5700.0,5000.0,,,5100.0,,,60815.0,32311.0,14301160.0,,,,,,,,-0.007589025102159974,,SR611,5139.0,100818.0,218725.0,9384.0,5174987900.0,-6.8e-05,6000.0,5100.0,0.10916520723876233,-0.027048063825647062,0.16754232340922348,-0.007589025102159974,34785.0,26030.0,0.14396119378442818,700.0,0.13621327106440942,price_wall,5100.0,-0.007589025102159974,above_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,SR,SR,SR,CZCE,2701,5243.0,,,6300.0,5200.0,,,6300.0,,,115893.0,26322.0,17864915.0,,,,,,,,0.2016021361815754,,SR701,5243.0,210580.0,353330.0,23403.0,11032286200.0,-7.400000000000001e-05,6300.0,5200.0,0.2016021361815754,-0.008201411405683756,0.2016021361815754,-0.008201411405683756,80781.0,35112.0,0.39406176386839586,1100.0,0.2098035475872592,put_oi_wall,5200.0,-0.008201411405683756,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,SR,SR,SR,CZCE,2703,5274.0,,,6100.0,5100.0,,,6100.0,,,1042.0,131.0,69690.0,,,,,,,,0.15661736822146377,,SR703,5274.0,36360.0,52364.0,530.0,1915808400.0,-7.3e-05,6100.0,5300.0,0.15661736822146377,-0.0329920364050057,0.15661736822146377,0.004929844520288107,789.0,253.0,0.5143953934740882,1000.0,0.18960940462646947,amount_wall,5300.0,0.004929844520288107,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,SR,SR,SR,CZCE,2705,5309.0,,,6000.0,5100.0,,,6000.0,,,1791.0,245.0,218155.0,,,,,,,,0.13015633829346385,,SR705,5309.0,14808.0,31018.0,2213.0,785712480.0,-6.7e-05,5100.0,5100.0,0.13015633829346385,-0.039367112450555686,-0.039367112450555686,-0.039367112450555686,1162.0,629.0,0.29759910664433276,900.0,0.1695234507440196,put_oi_wall,5100.0,-0.039367112450555686,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,TA,TA,TA,CZCE,2609,5690.0,,,6500.0,5000.0,,,6000.0,,,324739.0,284254.0,76523429.0,,,,,,,,0.054481546572934914,,TA609,5690.0,583065.0,861596.0,1888.0,16564877000.0,8.9e-05,6000.0,5800.0,0.1423550087873462,-0.12126537785588754,0.054481546572934914,0.019332161687170446,184093.0,140646.0,0.13379052100302088,1500.0,0.26362038664323373,amount_wall,5800.0,0.019332161687170446,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,TA,TA,TA,CZCE,2610,5692.0,,,6000.0,5000.0,,,6000.0,,,33538.0,13514.0,6659010.0,,,,,,,,0.05411103302881237,,TA610,5692.0,111852.0,165393.0,2256.0,3178833900.0,9.599999999999999e-05,5300.0,5700.0,0.05411103302881237,-0.12157413914265636,-0.06886858749121572,0.0014054813773718422,16834.0,16704.0,0.003876200131194466,1000.0,0.17568517217146873,amount_wall,5700.0,0.0014054813773718422,below_price_wall,,,,,,,,,,,,
2026-07-29,COMMODITY,COMMODITY,TA,TA,TA,CZCE,2611,5626.0,,,6800.0,4800.0,,,5800.0,,,1470.0,91.0,47048.0,,,,,,,,0.030927835051546282,,TA611,5626.0,117781.0,479257.0,6787.0,3312001700.0,9.3e-05,6200.0,5700.0,0.2086740135087095,-0.14681834340561672,0.10202630643441157,0.013153217205830181,635.0,835.0,-0.1360544217687075,2000.0,0.35549235691432635,amount_wall,5700.0,0.013153217205830181,below_price_wall,,,,,,,,,,,,
