trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,price_wall_distance,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,gamma_flip_cross_1d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality
2026-07-20,COMMODITY,SA,2610,,,,1200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SA,2611,,,,1200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SA,2612,,,,990.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SA,2701,,,,1560.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SA,2703,,,,1300.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SA,2705,,,,1400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SF,2609,,,,5800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SF,2610,,,,5500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SF,2611,,,,6000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SF,2612,,,,5200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SF,2701,,,,6000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SH,2609,,,,2000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SH,2610,,,,1720.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SH,2611,,,,2200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SH,2612,,,,2120.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SH,2701,,,,2640.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SM,2609,,,,6000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SM,2610,,,,5500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SM,2611,,,,5800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SM,2612,,,,5700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SM,2701,,,,6400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SR,2609,,,,5200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SR,2611,,,,5100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SR,2701,,,,6300.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SR,2703,,,,6100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,SR,2705,,,,6000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,TA,2609,,,,6000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,TA,2610,,,,6000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,TA,2611,,,,6800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,TA,2612,,,,4900.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,TA,2701,,,,7400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,TA,2703,,,,4700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,UR,2609,,,,1800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,UR,2610,,,,1640.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-20,COMMODITY,UR,2611,,,,1620.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
