underlying,contract_month,strike,underlying_price,call_gex,put_gex,net_gex,total_abs_gex,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,avg_iv,avg_delta,avg_gamma,liquidity_adjusted_call_gex,liquidity_adjusted_put_gex,liquidity_adjusted_net_gex,liquidity_adjusted_abs_gex,active_gex,stable_gex,avg_spread_bps,avg_liquidity_score,avg_pricing_quality_score,avg_volume_oi_ratio,avg_oi_change_rate,price_wall_score,in_price_range
科创50ETF华夏,9月,1.65,1.815,1050579.5447565,-2372476.6983307498,-1321897.1535742497,3423056.24308725,4863.0,12731.0,17594.0,510.0,21700.0,22210.0,0.5087999999999999,0.31899999999999995,0.61075,285057.34199604177,-1446405.6491997621,-1161348.3072037203,1731462.991195804,-2262298.7078257496,940401.5542514999,283.1432982179921,0.5944600683966119,0.7255974137086921,0.9046871798067457,-0.06895525977206812,0.6120030919674341,False
科创50ETF华夏,9月,1.7,1.815,1567282.0631737502,-4185920.35053225,-2618638.2873585,5753202.413706,6207.0,20773.0,26980.0,560.0,19873.0,20433.0,0.51395,0.27905,0.6891,368673.9604773406,-2772955.0195442126,-2404281.059066872,3141628.980021553,-3863162.06770725,1244523.7803487503,172.8778061737017,0.5996482332286333,0.7119514348785871,0.5234476239904151,-0.02869587481618116,0.6939425110373221,False
科创50ETF华夏,9月,1.75,1.815,1920206.914956,-3531539.2560030003,-1611332.3410470004,5451746.1709590005,6808.0,16748.0,23556.0,531.0,19336.0,19867.0,0.52725,0.23475000000000001,0.74815,407908.70883152925,-2104185.449774372,-1696276.7409428428,2512094.158605901,-3381769.8858735003,1770437.5448265,371.3471198090974,0.5185215990998431,0.7327842853565565,0.6162611941387603,-0.06551358147824463,0.6780721244400839,True
科创50ETF华夏,9月,1.8,1.815,3279214.534365,-5760194.208615,-2480979.67425,9039408.74298,11215.0,25508.0,36723.0,1302.0,19257.0,20559.0,0.5376000000000001,0.18835,0.78655,794494.515452035,-3468747.176538408,-2674252.661086373,4263241.691990443,-3967900.0409317506,1486920.3666817506,174.0128729959937,0.5683298635478591,0.7076106026538305,0.4355170715283015,-0.013643564075622429,0.7662199256963241,True
科创50ETF华夏,9月,1.85,1.815,4149404.8217325,-3646995.3855720004,502409.4361604997,7796400.2073045,14110.0,15628.0,29738.0,1439.0,13911.0,15350.0,0.55465,0.14304999999999998,0.8005500000000001,534784.216375932,-2632045.383803957,-2097261.167428025,3166829.6001798892,-2823136.6927747503,3325546.12893525,239.6015579096243,0.5124565399199835,0.7328143087390662,0.4960587513334931,-0.007413917576415336,0.7246125164276227,True
科创50ETF华夏,9月,1.9,1.815,2394946.903536,-3132784.783656,-737837.8801200003,5527731.687192,7656.0,13168.0,20824.0,4497.0,16319.0,20816.0,0.5525,0.101,0.8359,555570.7662114855,-2369199.50688245,-1813628.7406709646,2924770.2730939356,-1726035.0154740002,988197.1353539999,309.7354204467411,0.6696881526708203,0.6875661129056445,0.9133373343566812,0.11967190566170016,0.6716942471893076,True
科创50ETF华夏,9月,1.95,1.815,3111042.27275325,-2291044.0822334997,819998.1905197501,5402086.35498675,9963.0,9602.0,19565.0,3166.0,7641.0,10807.0,0.56395,0.05899999999999997,0.8361000000000001,495179.3492284791,-1671965.5094947498,-1176786.1602662709,2167144.858723229,-834534.2218702498,1654532.4123899997,226.85497602304486,0.5697969446682924,0.6920785072663851,0.5567737422882495,-0.0097647100991422,0.6386155084178918,False
科创50ETF华夏,9月,2.0,1.815,3628823.9133960004,-2455900.4757870003,1172923.4376090001,6084724.389183001,11689.0,10266.0,21955.0,7802.0,6666.0,14468.0,0.5700999999999999,0.01849999999999999,0.8343,626938.5495947693,-1726327.7943518995,-1099389.2447571303,2353266.343946669,827428.809141,345494.6284680001,155.64675441065208,0.6007459616957904,0.6730516768110753,0.6583965082988752,0.036818444848992195,0.6748387801625328,False
科创50ETF华夏,9月,2.05,1.815,2547663.2873504995,-1722800.5806577501,824862.7066927494,4270463.868008249,8493.0,7297.0,15790.0,4169.0,3701.0,7870.0,0.58305,-0.01874999999999999,0.81365,486646.4025847066,-950988.5149386899,-464342.1123539833,1437634.9175233964,376788.41533574986,448074.29135699954,234.0183468086165,0.5523992376861766,0.6643775343583433,0.49903478783267424,-0.01784958593513846,0.5859996896046722,False
科创50ETF华夏,9月,2.1,1.815,3924773.3978640004,-2028993.0953984996,1895780.3024655008,5953766.4932625,13441.0,8686.0,22127.0,5460.0,2081.0,7541.0,0.5885499999999999,-0.05514999999999998,0.79775,858820.2424878634,-935744.0196719528,-76923.77718408941,1794564.2621598162,1108212.5052652503,787567.7972002507,57.66613914934791,0.583027230710923,0.6423646982158177,0.3229003550760033,0.020092455188320927,0.6499885254561981,False
