trade_date,underlying,contract_month,underlying_price,strike,distance_to_spot,strike_side,wall_tags,call_gex,put_gex,net_gex,total_abs_gex,gex_share,call_oi,put_oi,total_oi,oi_share,call_volume,put_volume,total_volume,volume_share,avg_iv,avg_delta,avg_gamma
2026-08-18,上证50ETF华夏,3月,3.047,2.8,-0.08106334099113888,below_spot,"put_wall,put_oi_wall",125190.87373452,-1460379.5228622605,-1335188.6491277404,1585570.3965967805,0.11210660234391048,222.0,2619.0,2841.0,0.17707554225878833,16.0,675.0,691.0,0.2506347479143997,0.10475,0.28085000000000004,0.6040000000000001
2026-08-18,上证50ETF华夏,3月,3.047,2.85,-0.06465375779455207,below_spot,,307563.37638422,-1015034.0284977201,-707470.6521135,1322597.4048819402,0.09351328811917395,503.0,1708.0,2211.0,0.13780852655198206,37.0,411.0,448.0,0.16249546608632573,0.107,0.24530000000000002,0.64935
2026-08-18,上证50ETF华夏,3月,3.047,2.9,-0.04824417459796526,below_spot,,321149.60930855,-691074.18196696,-369924.57265840995,1012223.79127551,0.07156854737899529,491.0,1108.0,1599.0,0.09966342557965595,225.0,153.0,378.0,0.13710554951033732,0.10895,0.20855,0.68815
2026-08-18,上证50ETF华夏,3月,3.047,2.95,-0.03183459140137834,below_spot,,245938.32504164003,-477675.15262852004,-231736.82758688,723613.4776701601,0.05116256494570044,356.0,742.0,1098.0,0.06843679880329095,32.0,38.0,70.0,0.025389916575988394,0.1111,0.17079999999999998,0.71875
2026-08-18,上证50ETF华夏,3月,3.047,3.0,-0.015425008204791646,below_spot,,1446038.94795668,-595953.37571,850085.57224668,2041992.3236666801,0.14437758292534147,854.0,917.0,1771.0,0.11038394415357766,74.0,136.0,210.0,0.07616974972796518,0.14300000000000002,0.2329,1.2619
2026-08-18,上证50ETF华夏,3月,3.047,3.1,0.01739415818838208,above_spot,"call_wall,price_wall,max_gamma,gamma_flip",3016994.32842984,-229701.35760572003,2787292.97082412,3246695.68603556,0.22955525846553715,1719.0,364.0,2083.0,0.1298304662179008,382.0,20.0,402.0,0.1458106637649619,0.167,0.06425,1.28505
2026-08-18,上证50ETF华夏,3月,3.047,3.2,0.050213324581555696,above_spot,,1253048.8382104,-64904.41964556,1188144.41856484,1317953.25785596,0.09318492707952178,880.0,108.0,988.0,0.061580653203689856,155.0,33.0,188.0,0.06819006166122597,0.1843,-0.04550000000000001,1.0905
2026-08-18,上证50ETF华夏,3月,3.047,3.3,0.08303249097472909,above_spot,,1053516.14638182,-47819.618243760015,1005696.5281380601,1101335.76462558,0.07786914467942407,918.0,88.0,1006.0,0.06270256793817003,15.0,11.0,26.0,0.009430540442509974,0.20279999999999998,-0.1255,0.9107000000000001
2026-08-18,上证50ETF华夏,3月,3.047,3.4,0.1158516573679027,above_spot,,486840.80227959,-23353.870686960003,463486.93159263,510194.67296655,0.036072943492768676,543.0,47.0,590.0,0.03677387185240588,93.0,15.0,108.0,0.03917301414581066,0.21910000000000002,-0.1843,0.7504500000000001
2026-08-18,上证50ETF华夏,3月,3.047,3.5,0.14867082376107632,above_spot,call_oi_wall,1257158.4004821603,-24081.566988379996,1233076.8334937803,1281239.9674705402,0.0905891405696268,1804.0,53.0,1857.0,0.11574420344053851,226.0,10.0,236.0,0.08560029017047516,0.2346,-0.2285,0.62
2026-08-18,上证50ETF华夏,8月,3.047,2.85,-0.06465375779455207,below_spot,,371852.90286771,-11412958.54308808,-11041105.64022037,11784811.44595579,0.00730723219541604,1653.0,28904.0,30557.0,0.042456434809913776,1034.0,5670.0,6704.0,0.019203226508702178,0.10264999999999999,0.48785,0.3338
2026-08-18,上证50ETF华夏,8月,3.047,2.9,-0.04824417459796526,below_spot,,7856440.354092333,-34065193.70329108,-26208753.349198747,41921634.05738341,0.025993722128976927,9393.0,37273.0,46666.0,0.06483856356446759,5840.0,7658.0,13498.0,0.03866425289595197,0.0934,0.46204999999999996,0.94265
2026-08-18,上证50ETF华夏,8月,3.047,2.95,-0.03183459140137834,below_spot,,34514910.388937004,-64416548.38892351,-29901637.999986507,98931458.77786052,0.061342953515742586,16486.0,32150.0,48636.0,0.06757571631426404,17725.0,13732.0,31457.0,0.09010678643858061,0.08255,0.39490000000000003,2.20655
2026-08-18,上证50ETF华夏,8月,3.047,3.0,-0.015425008204791646,below_spot,"put_wall,put_oi_wall",257643428.48954186,-277860683.94268495,-20217255.45314309,535504112.4322268,0.332042044888661,58718.0,71743.0,130461.0,0.18126481466558106,88230.0,69843.0,158073.0,0.45279111335174216,0.13344999999999999,0.2952,4.44885
2026-08-18,上证50ETF华夏,8月,3.047,3.1,0.01739415818838208,above_spot,"call_wall,call_oi_wall,price_wall,max_gamma,gamma_flip",637963804.5921541,-141719587.5041614,496244217.0879928,779683392.0963155,0.483446647499188,146258.0,38333.0,184591.0,0.25647399149120637,64611.0,39772.0,104383.0,0.29899916358261625,0.15565,-0.24525000000000002,4.3401499999999995
2026-08-18,上证50ETF华夏,8月,3.047,3.2,0.050213324581555696,above_spot,,100224576.59095728,-14193398.653565122,86031177.93739216,114417975.24452241,0.07094544671124185,116127.0,9031.0,125158.0,0.1738967329233625,15940.0,5266.0,21206.0,0.06074338027200751,0.22645000000000004,-0.40845000000000004,1.3112
2026-08-18,上证50ETF华夏,8月,3.047,3.3,0.08303249097472909,above_spot,,15546815.732959278,-1590122.0729011202,13956693.660058158,17136937.805860396,0.010625845329820575,52199.0,1856.0,54055.0,0.07510497050266352,5292.0,797.0,6089.0,0.01744159400529349,0.294,-0.449,0.6217999999999999
2026-08-18,上证50ETF华夏,8月,3.047,3.4,0.1158516573679027,above_spot,,3728188.87677324,-690516.20100606,3037672.67576718,4418705.0777793005,0.0027398405273151598,27542.0,1207.0,28749.0,0.0399443677177148,2006.0,163.0,2169.0,0.006212977072997468,0.36850000000000005,-0.4612,0.381
2026-08-18,上证50ETF华夏,9月,3.047,2.85,-0.06465375779455207,below_spot,,4751017.555779002,-24362114.24499513,-19611096.689216126,29113131.80077413,0.034829858048904844,4950.0,25784.0,30734.0,0.047619047619047616,1647.0,7778.0,9425.0,0.05527599878011589,0.09065,0.35109999999999997,1.02575
2026-08-18,上证50ETF华夏,9月,3.047,2.9,-0.04824417459796526,below_spot,,9428098.82771306,-44595824.2874331,-35167725.459720045,54023923.11514616,0.0646321936857187,8447.0,33602.0,42049.0,0.06515043057634325,2629.0,11546.0,14175.0,0.08313392919980295,0.08735,0.29335,1.31585
2026-08-18,上证50ETF华夏,9月,3.047,2.95,-0.03183459140137834,below_spot,"put_wall,put_oi_wall",16959728.901730232,-87339275.91455254,-70379547.0128223,104299004.81628278,0.12477941422628314,13613.0,50831.0,64444.0,0.09984908911179491,7239.0,9957.0,17196.0,0.10085157294672391,0.0876,0.21705000000000002,1.5963
2026-08-18,上证50ETF华夏,9月,3.047,3.0,-0.015425008204791646,below_spot,,123705694.97531366,-71554774.12572126,52150920.8495924,195260469.10103494,0.2336022956201084,36539.0,36678.0,73217.0,0.11344191480197206,21206.0,18965.0,40171.0,0.2355959837661576,0.13335,0.21165,2.87395
2026-08-18,上证50ETF华夏,9月,3.047,3.1,0.01739415818838208,above_spot,"call_wall,price_wall,max_gamma,gamma_flip",166251703.60036626,-46462753.93756414,119788949.66280213,212714457.5379304,0.25448359220490696,53277.0,25498.0,78775.0,0.12205344166689908,29523.0,7738.0,37261.0,0.2185293358669388,0.1615,-0.09535000000000002,2.6619
2026-08-18,上证50ETF华夏,9月,3.047,3.2,0.050213324581555696,above_spot,,103952530.48440073,-16013936.87532287,87938593.60907787,119966467.3597236,0.14352337829407427,61409.0,11989.0,73398.0,0.11372235495356468,25763.0,2409.0,28172.0,0.16522391911229972,0.19165,-0.27259999999999995,1.631
2026-08-18,上证50ETF华夏,9月,3.047,3.3,0.08303249097472909,above_spot,,29806433.078796,-5752937.824748401,24053495.2540476,35559370.903544396,0.0425418965350157,34700.0,6072.0,40772.0,0.06317185558416769,6902.0,504.0,7406.0,0.0434349121448847,0.24025000000000002,-0.33895,0.97285
2026-08-18,上证50ETF华夏,9月,3.047,3.4,0.1158516573679027,above_spot,,13554400.435457971,-2090081.2768135301,11464319.158644442,15644481.7122715,0.01871647066402575,26783.0,2891.0,29674.0,0.045976690930162656,2873.0,21.0,2894.0,0.016972810659910385,0.29105000000000003,-0.36829999999999996,0.6618999999999999
2026-08-18,上证50ETF华夏,9月,3.047,3.6,0.18148999015425016,above_spot,call_oi_wall,22968322.276028033,-1386668.5667697499,21581653.709258284,24354990.842797782,0.0291373968160467,93461.0,2825.0,96286.0,0.14918486428865813,3127.0,45.0,3172.0,0.018603232692894173,0.379,-0.40004999999999996,0.39669999999999994
