underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
沪深300ETF嘉实,9月,0.22311857065511637,0.1525926238729812,0.3164757999320976,0.3164757999320976,0.012348250984888422,0.21716288012095553,0.00037560777052685247,0.14207692307692307,0.1183,0.15,59266612.0,4836158.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
深证100ETF易方达,10月,0.2747097613076995,0.2739016805322091,0.260801740167483,0.260801740167483,0.0481552627958583,0.02075524584708329,0.004125117561599628,0.23406521739130431,0.20199999999999999,0.2663,9056954.0,5943654.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
深证100ETF易方达,12月,0.31240830541552206,-0.007340960399991417,0.31184275065187517,0.31184275065187517,0.05662292337688106,0.01055170218229333,-0.005019720937208601,0.3060097902097902,0.2243,0.31989999999999996,12987973.0,9841161.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
深证100ETF易方达,3月,0.3869084204056546,-0.025145260121057875,0.18128332370209077,0.18128332370209077,0.09878982731315003,0.004258485011230684,-0.015353609729623364,0.32539999999999997,0.1999,0.3258,1575395.0,2604917.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
深证100ETF易方达,9月,0.35454828261386717,-0.09625015778312827,0.02622435400248877,0.02622435400248877,0.01686329744859571,0.16610698000342322,-0.00045878672988926094,0.17628064516129033,0.16699999999999998,0.22949999999999998,14470776.0,2734268.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
科创50ETF华夏,10月,0.0,0.23212229917515712,0.08878285349703616,0.08878285349703616,0.03295387593788736,0.039999867725921415,0.0009452953524066857,0.0001,0.0001,0.0001,363087578.0,230733038.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
科创50ETF华夏,12月,0.14834794335805798,0.1747605316932143,0.23578609492044159,0.23578609492044159,0.02455321535518308,0.010234139341959988,-0.00030893624917572,0.40782500000000005,0.379,0.4395,566621756.0,286544369.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
科创50ETF华夏,3月,0.2561169742350098,0.16606514327024127,0.24966023897060657,0.24966023897060657,0.027123022886937003,0.004140321027495003,-0.0015709599374204425,0.424025,0.36329999999999996,0.4719,133982411.0,95681711.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
科创50ETF华夏,9月,-0.02384356686871947,0.23852820253015308,0.18540315871240096,0.18540315871240096,0.010945803121521602,0.16162210521764978,0.00024911526897948615,0.31035625,0.31420000000000003,0.3068,414049289.0,77071252.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
科创50ETF易方达,10月,0.0,0.33365176329496604,0.20851987909777883,0.20851987909777883,0.03732612341178293,0.04425087799441453,0.0026548189557324903,0.0001,0.0001,0.0001,38567225.0,24692640.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
科创50ETF易方达,12月,0.18565606180424582,0.14121688060991291,0.2698193040516766,0.2698193040516766,0.022110938926768898,0.01060953860806911,-0.0008987360761330022,0.410975,0.38170000000000004,0.45799999999999996,139899803.0,65061736.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
科创50ETF易方达,3月,0.22021006881564656,0.17708933485030523,0.22870556297213565,0.22870556297213565,0.027730199660756343,0.004013157815060829,-0.0013770339105200686,0.5522,0.35979999999999995,0.4814,38206757.0,28899935.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
科创50ETF易方达,9月,-0.04550888330104284,0.1652321015809383,0.23062398421942853,0.23062398421942853,0.01045607937967741,0.18660735522720104,1.3778209962966973e-05,0.3032375,0.3098,0.29600000000000004,93553517.0,14391153.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
