underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality
沪深300ETF嘉实,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,6101751.4310840005,2137880.271252,5469.0,821.0,4,4,far,0.014721246219303333,0.5910821291439069,0.3104593087991657,0.5910821291439069,0.3104593087991657,20.0,0.3443649905959947,-0.2806228203447412,0.007360623109651666,4.91,4.9,4.6,4.9,Positive Gamma,-0.0020366598778003286,low_expiry_influence,distributed_expiry,rule_estimate
深证100ETF易方达,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,46531353.29504476,15834048.928379059,40666.0,56381.0,1,4,near,0.6953072033324708,0.6953072033324708,0.21162092445500227,0.6953072033324708,0.21162092445500227,20.0,0.2333381422089854,-0.4836862788774685,0.6953072033324708,3.673,3.8,3.7,3.7,Positive Gamma,0.00735093928668662,front_month_concentrated,front_month_dominant,rule_estimate
深证100ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,14162096.91665053,1290380.5119012902,17951.0,7780.0,2,4,next,0.21162092445500227,0.6953072033324708,0.21162092445500227,0.6953072033324708,0.21162092445500227,20.0,0.2333381422089854,-0.4836862788774685,0.10581046222750114,3.673,3.6,3.0,3.6,Positive Gamma,-0.019874761775115712,normal_expiry_structure,front_month_dominant,rule_estimate
深证100ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,5744496.38865044,2572659.72093808,9238.0,7400.0,3,4,deferred,0.08583867512341119,0.6953072033324708,0.21162092445500227,0.6953072033324708,0.21162092445500227,20.0,0.2333381422089854,-0.4836862788774685,0.042919337561705594,3.673,4.6,3.4,3.7,Positive Gamma,0.00735093928668662,low_expiry_influence,front_month_dominant,rule_estimate
深证100ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,484060.06380089,51831.47467155,840.0,331.0,4,4,far,0.007233197089115748,0.6953072033324708,0.21162092445500227,0.6953072033324708,0.21162092445500227,20.0,0.2333381422089854,-0.4836862788774685,0.003616598544557874,3.673,4.2,3.2,3.5,Positive Gamma,-0.047100462836918044,low_expiry_influence,front_month_dominant,rule_estimate
科创50ETF华夏,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,528841259.105782,59558763.82553604,1499187.0,1693279.0,1,4,near,0.6883000160140412,0.6883000160140412,0.23842380499434826,0.6883000160140412,0.23842380499434826,20.0,0.2572760077915272,-0.449876211019693,0.6883000160140412,1.794,1.9,1.8,1.8,Positive Gamma,0.0033444816053511683,front_month_concentrated,front_month_dominant,rule_estimate
科创50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,183188060.87523085,15733225.61219916,915038.0,212111.0,2,4,next,0.23842380499434826,0.6883000160140412,0.23842380499434826,0.6883000160140412,0.23842380499434826,20.0,0.2572760077915272,-0.449876211019693,0.11921190249717413,1.794,1.8,1.8,1.8,Positive Gamma,0.0033444816053511683,normal_expiry_structure,front_month_dominant,rule_estimate
科创50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,50923666.05085188,5518279.803970442,284409.0,192756.0,3,4,deferred,0.06627841446706029,0.6883000160140412,0.23842380499434826,0.6883000160140412,0.23842380499434826,20.0,0.2572760077915272,-0.449876211019693,0.033139207233530144,1.794,2.55,1.3,1.8,Positive Gamma,0.0033444816053511683,low_expiry_influence,front_month_dominant,rule_estimate
科创50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,5376589.44644484,1120740.1013905199,29890.0,7925.0,4,4,far,0.006997764524550214,0.6883000160140412,0.23842380499434826,0.6883000160140412,0.23842380499434826,20.0,0.2572760077915272,-0.449876211019693,0.003498882262275107,1.794,2.15,1.45,1.8,Positive Gamma,0.0033444816053511683,low_expiry_influence,front_month_dominant,rule_estimate
科创50ETF易方达,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,85871619.01018843,13995579.821912749,291461.0,232911.0,1,4,near,0.6354884608332423,0.6354884608332423,0.27464438185290113,0.6354884608332423,0.27464438185290113,20.0,0.3017629613742127,-0.36084407898034115,0.6354884608332423,1.739,1.75,1.7,1.75,Positive Gamma,0.006325474410580734,near_month_pressure,front_month_dominant,rule_estimate
科创50ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,37111858.318934485,7582132.419850601,190259.0,25418.0,2,4,next,0.27464438185290113,0.6354884608332423,0.27464438185290113,0.6354884608332423,0.27464438185290113,20.0,0.3017629613742127,-0.36084407898034115,0.13732219092645057,1.739,1.75,1.75,1.75,Positive Gamma,0.006325474410580734,normal_expiry_structure,front_month_dominant,rule_estimate
科创50ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,10788113.048990162,1364257.6748085604,61282.0,8656.0,3,4,deferred,0.07983687085234019,0.6354884608332423,0.27464438185290113,0.6354884608332423,0.27464438185290113,20.0,0.3017629613742127,-0.36084407898034115,0.039918435426170094,1.739,2.15,1.25,1.8,Positive Gamma,0.035077630822311745,low_expiry_influence,front_month_dominant,rule_estimate
科创50ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,1355362.0414398003,281448.34888622,7817.0,1885.0,4,4,far,0.010030286461516312,0.6354884608332423,0.27464438185290113,0.6354884608332423,0.27464438185290113,20.0,0.3017629613742127,-0.36084407898034115,0.005015143230758156,1.739,2.1,1.4,1.7,Positive Gamma,-0.022426682001150167,low_expiry_influence,front_month_dominant,rule_estimate
