run_id,saved_at,trade_date,data_mode,calc_mode,file_name,output_path,rows,columns,parse_error_count,unavailable_gamma_count
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,wall_confidence.csv,D:\codex\options\option_wall_publish\daily_data\wall_confidence_20260722.csv,108,14,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,spot_position_features.csv,D:\codex\options\option_wall_publish\daily_data\spot_position_features_20260722.csv,36,20,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,expiry_structure.csv,D:\codex\options\option_wall_publish\daily_data\expiry_structure_20260722.csv,36,21,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,daily_wall_snapshot.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_snapshot_20260722.csv,421,64,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,wall_event_log.csv,D:\codex\options\option_wall_publish\daily_data\wall_event_log_20260722.csv,421,32,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,iv_surface_summary.csv,D:\codex\options\option_wall_publish\daily_data\iv_surface_summary_20260722.csv,36,17,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,greek_factor_summary.csv,D:\codex\options\option_wall_publish\daily_data\greek_factor_summary_20260722.csv,36,15,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,wall_lifecycle.csv,D:\codex\options\option_wall_publish\daily_data\wall_lifecycle_20260722.csv,421,12,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,market_state_table.csv,D:\codex\options\option_wall_publish\daily_data\market_state_table_20260722.csv,421,24,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,data_quality_report.csv,D:\codex\options\option_wall_publish\daily_data\data_quality_report_20260722.csv,4,5,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,etf_quality_by_underlying.csv,D:\codex\options\option_wall_publish\daily_data\etf_quality_by_underlying_20260722.csv,9,11,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,comparison_table.csv,D:\codex\options\option_wall_publish\daily_data\comparison_table_20260722.csv,36,21,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,market_structure_report.txt,D:\codex\options\option_wall_publish\daily_data\market_structure_report_20260722.txt,179,1,0,0
eabf6243bee94b24871462e4658ba22b,2026-07-22 20:07:12,2026-07-22,上传文件模式,单日模式,range_structure_report.txt,D:\codex\options\option_wall_publish\daily_data\range_structure_report_20260722.txt,3,1,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,etf_gamma_by_strike.csv,D:\codex\options\option_wall_publish\daily_data\etf_gamma_by_strike_20260723.csv,577,30,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,commodity_wall_by_strike.csv,D:\codex\options\option_wall_publish\daily_data\commodity_wall_by_strike_20260723.csv,12178,15,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,daily_wall_summary.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_summary_20260723.csv,423,27,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,wall_features.csv,D:\codex\options\option_wall_publish\daily_data\wall_features_20260723.csv,423,40,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,spot_price_cleaned.csv,D:\codex\options\option_wall_publish\daily_data\spot_price_cleaned_20260723.csv,9,12,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,clean_etf_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_etf_options_20260723.csv,1154,35,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,clean_commodity_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_commodity_options_20260723.csv,24380,30,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,key_level_table.csv,D:\codex\options\option_wall_publish\daily_data\key_level_table_20260723.csv,423,22,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,gamma_audit_table.csv,D:\codex\options\option_wall_publish\daily_data\gamma_audit_table_20260723.csv,36,12,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,key_strike_context.csv,D:\codex\options\option_wall_publish\daily_data\key_strike_context_20260723.csv,338,24,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,wall_confidence.csv,D:\codex\options\option_wall_publish\daily_data\wall_confidence_20260723.csv,108,14,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,spot_position_features.csv,D:\codex\options\option_wall_publish\daily_data\spot_position_features_20260723.csv,36,20,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,expiry_structure.csv,D:\codex\options\option_wall_publish\daily_data\expiry_structure_20260723.csv,36,21,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,daily_wall_snapshot.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_snapshot_20260723.csv,423,64,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,wall_event_log.csv,D:\codex\options\option_wall_publish\daily_data\wall_event_log_20260723.csv,423,32,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,iv_surface_summary.csv,D:\codex\options\option_wall_publish\daily_data\iv_surface_summary_20260723.csv,36,17,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,greek_factor_summary.csv,D:\codex\options\option_wall_publish\daily_data\greek_factor_summary_20260723.csv,36,15,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,wall_lifecycle.csv,D:\codex\options\option_wall_publish\daily_data\wall_lifecycle_20260723.csv,423,12,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,market_state_table.csv,D:\codex\options\option_wall_publish\daily_data\market_state_table_20260723.csv,423,24,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,data_quality_report.csv,D:\codex\options\option_wall_publish\daily_data\data_quality_report_20260723.csv,4,5,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,etf_quality_by_underlying.csv,D:\codex\options\option_wall_publish\daily_data\etf_quality_by_underlying_20260723.csv,9,11,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,comparison_table.csv,D:\codex\options\option_wall_publish\daily_data\comparison_table_20260723.csv,36,21,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,market_structure_report.txt,D:\codex\options\option_wall_publish\daily_data\market_structure_report_20260723.txt,177,1,0,0
9bea3c8fd02a4f73a46544aecc43f988,2026-07-23 17:51:06,2026-07-23,上传文件模式,单日模式,range_structure_report.txt,D:\codex\options\option_wall_publish\daily_data\range_structure_report_20260723.txt,3,1,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,etf_gamma_by_strike.csv,D:\codex\options\option_wall_publish\daily_data\etf_gamma_by_strike_20260724.csv,580,30,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,commodity_wall_by_strike.csv,D:\codex\options\option_wall_publish\daily_data\commodity_wall_by_strike_20260724.csv,12194,15,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,daily_wall_summary.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_summary_20260724.csv,423,27,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,wall_features.csv,D:\codex\options\option_wall_publish\daily_data\wall_features_20260724.csv,423,40,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,spot_price_cleaned.csv,D:\codex\options\option_wall_publish\daily_data\spot_price_cleaned_20260724.csv,9,12,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,clean_etf_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_etf_options_20260724.csv,1160,35,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,clean_commodity_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_commodity_options_20260724.csv,24412,30,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,key_level_table.csv,D:\codex\options\option_wall_publish\daily_data\key_level_table_20260724.csv,423,22,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,gamma_audit_table.csv,D:\codex\options\option_wall_publish\daily_data\gamma_audit_table_20260724.csv,36,12,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,key_strike_context.csv,D:\codex\options\option_wall_publish\daily_data\key_strike_context_20260724.csv,340,24,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,wall_confidence.csv,D:\codex\options\option_wall_publish\daily_data\wall_confidence_20260724.csv,108,14,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,spot_position_features.csv,D:\codex\options\option_wall_publish\daily_data\spot_position_features_20260724.csv,36,20,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,expiry_structure.csv,D:\codex\options\option_wall_publish\daily_data\expiry_structure_20260724.csv,36,21,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,daily_wall_snapshot.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_snapshot_20260724.csv,423,64,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,wall_event_log.csv,D:\codex\options\option_wall_publish\daily_data\wall_event_log_20260724.csv,423,32,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,iv_surface_summary.csv,D:\codex\options\option_wall_publish\daily_data\iv_surface_summary_20260724.csv,36,17,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,greek_factor_summary.csv,D:\codex\options\option_wall_publish\daily_data\greek_factor_summary_20260724.csv,36,15,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,wall_lifecycle.csv,D:\codex\options\option_wall_publish\daily_data\wall_lifecycle_20260724.csv,423,12,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,market_state_table.csv,D:\codex\options\option_wall_publish\daily_data\market_state_table_20260724.csv,423,24,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,data_quality_report.csv,D:\codex\options\option_wall_publish\daily_data\data_quality_report_20260724.csv,4,5,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,etf_quality_by_underlying.csv,D:\codex\options\option_wall_publish\daily_data\etf_quality_by_underlying_20260724.csv,9,11,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,comparison_table.csv,D:\codex\options\option_wall_publish\daily_data\comparison_table_20260724.csv,36,21,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,market_structure_report.txt,D:\codex\options\option_wall_publish\daily_data\market_structure_report_20260724.txt,178,1,0,0
c6a66aab083545bea017b7f062208889,2026-07-24 17:30:19,2026-07-24,上传文件模式,单日模式,range_structure_report.txt,D:\codex\options\option_wall_publish\daily_data\range_structure_report_20260724.txt,3,1,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,etf_gamma_by_strike.csv,D:\codex\options\option_wall_publish\daily_data\etf_gamma_by_strike_20260727.csv,584,30,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,commodity_wall_by_strike.csv,D:\codex\options\option_wall_publish\daily_data\commodity_wall_by_strike_20260727.csv,12239,15,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,daily_wall_summary.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_summary_20260727.csv,423,27,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,wall_features.csv,D:\codex\options\option_wall_publish\daily_data\wall_features_20260727.csv,423,40,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,spot_price_cleaned.csv,D:\codex\options\option_wall_publish\daily_data\spot_price_cleaned_20260727.csv,9,12,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,clean_etf_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_etf_options_20260727.csv,1168,35,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,clean_commodity_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_commodity_options_20260727.csv,24502,30,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,key_level_table.csv,D:\codex\options\option_wall_publish\daily_data\key_level_table_20260727.csv,423,22,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,gamma_audit_table.csv,D:\codex\options\option_wall_publish\daily_data\gamma_audit_table_20260727.csv,36,12,0,0
59c377285fbd44cfa79ae336e70d7d18,2026-07-27 17:00:35,2026-07-27,上传文件模式,单日模式,key_strike_context.csv,D:\codex\options\option_wall_publish\daily_data\key_strike_context_20260727.csv,339,24,0,0
