trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime
2026-07-13,ETF,科创50ETF易方达,,,7月,2.036,2.2,1.95,2.45,1.9,2.1,2.3,2.1,11633724.931301598,114070721.38362929,241653.0,501169.0,,62852223.15746544,51218498.22616385,1.2271391261791966,0.550993474882027,0.449006525117973,0.08055009823182724,-0.04223968565815328,0.03143418467583503,Positive Gamma
2026-07-13,ETF,科创50ETF易方达,,,8月,2.036,2.45,1.85,2.45,1.85,1.85,2.35,2.1,2129573.0286022397,15559722.958808,43567.0,40440.0,,8844647.99370512,6715074.96510288,1.3171331727001223,0.5684322283320841,0.43156777166791593,0.20333988212180754,-0.09135559921414538,0.03143418467583503,Positive Gamma
2026-07-13,ETF,科创50ETF易方达,,,9月,2.036,2.15,1.75,2.45,1.1,1.75,2.15,2.1,5553719.179203201,29887464.941287044,176554.0,189525.0,,17720592.06024512,12166872.88104192,1.4564623328856217,0.5929105093073851,0.4070894906926147,0.05599214145383091,-0.14047151277013759,0.03143418467583503,Positive Gamma
2026-07-13,COMMODITY,AP,AP,CZCE,2610,,,,10000.0,7000.0,,,8000.0,,,52302.0,14982.0,12412835.0,,,,,,,,,
2026-07-13,COMMODITY,AP,AP,CZCE,2611,,,,9800.0,6800.0,,,9800.0,,,1030.0,14.0,15530.0,,,,,,,,,
2026-07-13,COMMODITY,AP,AP,CZCE,2701,,,,8800.0,6600.0,,,8800.0,,,2626.0,201.0,92875.0,,,,,,,,,
2026-07-13,COMMODITY,CF,CF,CZCE,2609,,,,17000.0,15000.0,,,16000.0,,,363881.0,133460.0,89726455.0,,,,,,,,,
2026-07-13,COMMODITY,CF,CF,CZCE,2611,,,,18000.0,15400.0,,,15400.0,,,26958.0,10424.0,10519855.0,,,,,,,,,
2026-07-13,COMMODITY,CF,CF,CZCE,2701,,,,18000.0,15800.0,,,15800.0,,,67790.0,10381.0,18744745.0,,,,,,,,,
2026-07-13,COMMODITY,CF,CF,CZCE,2703,,,,18200.0,16200.0,,,16800.0,,,91.0,0.0,0.0,,,,,,,,,
2026-07-13,COMMODITY,CF,CF,CZCE,2705,,,,17800.0,14400.0,,,17800.0,,,824.0,9.0,15540.0,,,,,,,,,
2026-07-13,COMMODITY,CJ,CJ,CZCE,2609,,,,11000.0,7600.0,,,9000.0,,,109568.0,47947.0,15611900.0,,,,,,,,,
2026-07-13,COMMODITY,CJ,CJ,CZCE,2612,,,,10000.0,8700.0,,,10000.0,,,2541.0,478.0,392420.0,,,,,,,,,
2026-07-13,COMMODITY,CJ,CJ,CZCE,2701,,,,10000.0,9500.0,,,10000.0,,,19986.0,2002.0,2460665.0,,,,,,,,,
2026-07-13,COMMODITY,CJ,CJ,CZCE,2705,,,,9300.0,8100.0,,,9000.0,,,834.0,19.0,26310.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2608,,,,1000.0,940.0,,,960.0,,,359097.0,310919.0,23343180.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2609,,,,1540.0,1000.0,,,1000.0,,,742008.0,172890.0,46932390.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2610,,,,1240.0,940.0,,,1020.0,,,1148.0,17.0,12900.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2611,,,,1200.0,910.0,,,1040.0,,,16058.0,8371.0,4323750.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2612,,,,940.0,1100.0,,,1140.0,,,339.0,566.0,1362630.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2701,,,,1480.0,1000.0,,,1480.0,,,12568.0,1152.0,617310.0,,,,,,,,,
2026-07-13,COMMODITY,FG,FG,CZCE,2703,,,,1040.0,1080.0,,,1240.0,,,255.0,137.0,380660.0,,,,,,,,,
