trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8500,10012040,,7月,8500.0,8.5,call,0.03,0.0297,0.03,1.0,138.0,73113.0,12294.0,12294.0,27995393.0,0.054,0.0665,0.0717,0.0207,1e-06,0.2715,0.6361,0.004,-0.0111,0.0005,0.084,-0.00041100000000000007,271.7,73.78,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8500,10012049,,7月,8500.0,8.5,put,0.3666,0.366,0.3859,2.0,1.0,26920.0,1443.0,1443.0,89622156.0,0.3033,0.307,0.416,0.2499,1e-06,-0.7285,0.6361,0.004,-0.01,-0.0014,0.4246,0.00041100000000000007,22.23,-16.2,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8595,10011722,,7月,8595.0,8.595,call,0.0187,0.0186,0.0187,1.0,69.0,84728.0,70589.0,-18037.0,20715836.0,0.0356,0.0386,0.04,0.0117,0.00286,0.1135,0.5571,0.0023,-0.0043,0.0002,0.0627,-0.000517,435.88,49.46,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8595,10011731,,7月,8595.0,8.595,put,0.4622,0.4622,0.4647,1.0,2.0,21320.0,24115.0,-4250.0,90314274.0,0.3799,0.3789,0.4999,0.3247,0.0031780000000000003,-0.8605,0.5788,0.0027,-0.0044,-0.0016,0.4983,0.000517,17.64,-15.18,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8750,10012041,,7月,8750.0,8.75,call,0.0079,0.0077,0.0079,2.0,34.0,27372.0,12227.0,12227.0,3323771.0,0.0181,0.0255,0.0259,0.0043,1e-06,0.1443,0.4357,0.0027,-0.0075,0.0002,0.0375,-0.000685,1031.77,148.84,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8750,10012050,,7月,8750.0,8.75,put,0.611,0.5949,0.6173,1.0,1.0,1427.0,175.0,175.0,7881413.0,0.5171,0.5158,0.6398,0.4375,1e-06,-0.8557,0.4357,0.0027,-0.0065,-0.0017,0.6279,0.000685,13.34,-11.42,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8841,10011723,,7月,8841.0,8.841,call,0.0056,0.0056,0.0057,75.0,4.0,41632.0,78430.0,-11442.0,3344029.0,0.0128,0.0158,0.0162,0.0028,0.0030320000000000004,0.0387,0.2293,0.001,-0.002,0.0001,0.0271,-0.00078,1455.54,56.35,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8841,10011732,,7月,8841.0,8.841,put,0.6982,0.6982,0.7036,6.0,1.0,8717.0,24486.0,-3454.0,57410468.0,0.604,0.6054,0.7319,0.5371,0.003824,-0.9177,0.3292,0.0018,-0.0034,-0.0018,0.7084,0.00078,11.67,-10.71,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月9000,10012042,,7月,9000.0,9.0,call,0.0021,0.0022,0.0031,1.0,1.0,6930.0,1296.0,1296.0,234107.0,0.0062,0.0058,0.0077,0.0014,1e-06,0.0666,0.2478,0.0016,-0.0043,0.0001,0.0148,-0.0009429999999999999,3881.43,258.38,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月9000,10012051,,7月,9000.0,9.0,put,0.8536,0.833,0.8623,1.0,1.0,549.0,117.0,117.0,4538919.0,0.751,0.7635,0.8854,0.6663,1e-06,-0.9334,0.2478,0.0016,-0.0032,-0.0019,0.855,0.0009429999999999999,9.55,-8.91,
