underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
沪深300ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,253074402.25716275,90198397.19605689,136280.0,38504.0,1,4,near,0.7319878680309935,0.7319878680309935,0.10370756449222594,0.7319878680309935,0.10370756449222594,14.0,0.12409732117250082,-0.6282803035387675,0.7319878680309935,4.843,4.9,4.7,5.0,Positive Gamma,0.03241792277513933,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
沪深300ETF嘉实,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,35855416.51669144,9194721.992023699,17813.0,6426.0,2,4,next,0.10370756449222594,0.7319878680309935,0.10370756449222594,0.7319878680309935,0.10370756449222594,14.0,0.12409732117250082,-0.6282803035387675,0.05185378224611297,4.843,5.0,4.6,4.9,Positive Gamma,0.011769564319636716,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
沪深300ETF嘉实,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,42983598.17099506,17143346.79925434,40626.0,10551.0,3,4,deferred,0.12432498942945572,0.7319878680309935,0.10370756449222594,0.7319878680309935,0.10370756449222594,14.0,0.12409732117250082,-0.6282803035387675,0.06216249471472786,4.843,5.25,4.4,5.0,Positive Gamma,0.03241792277513933,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
沪深300ETF嘉实,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,13822370.91447521,6228365.38914921,12438.0,793.0,4,4,far,0.039979578047324854,0.7319878680309935,0.10370756449222594,0.7319878680309935,0.10370756449222594,14.0,0.12409732117250082,-0.6282803035387675,0.019989789023662427,4.843,4.8,4.4,5.0,Positive Gamma,0.03241792277513933,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
深证100ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,58651783.1143037,11129924.329022339,55198.0,52123.0,1,4,near,0.8031422289186707,0.8031422289186707,0.07054538285596161,0.8031422289186707,0.07054538285596161,14.0,0.08074440097951027,-0.7325968460627091,0.8031422289186707,3.541,3.7,3.4,3.7,Positive Gamma,0.04490256989550989,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
深证100ETF易方达,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,5151780.5265378095,454127.8292601499,5151.0,2003.0,2,4,next,0.07054538285596161,0.8031422289186707,0.07054538285596161,0.8031422289186707,0.07054538285596161,14.0,0.08074440097951027,-0.7325968460627091,0.035272691427980805,3.541,3.7,3.2,3.4,Positive Gamma,-0.039819260096018105,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
深证100ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,8230746.056166779,3075776.0653429995,13916.0,8629.0,3,4,deferred,0.11270688429592211,0.8031422289186707,0.07054538285596161,0.8031422289186707,0.07054538285596161,14.0,0.08074440097951027,-0.7325968460627091,0.05635344214796106,3.541,4.6,3.4,3.7,Positive Gamma,0.04490256989550989,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
深证100ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,993581.2573384899,250072.83311890997,1586.0,355.0,4,4,far,0.0136055039294456,0.8031422289186707,0.07054538285596161,0.8031422289186707,0.07054538285596161,14.0,0.08074440097951027,-0.7325968460627091,0.0068027519647228,3.541,4.2,3.2,3.6,Positive Gamma,0.016661959898333745,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
科创50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,717127007.18856,39037043.3564495,1835199.0,993897.0,1,4,near,0.8153889264806429,0.8153889264806429,0.0567329597110114,0.8153889264806429,0.0567329597110114,14.0,0.06505164084202787,-0.7586559667696314,0.8153889264806429,1.671,1.7,1.7,1.7,Positive Gamma,0.017354877318970674,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
科创50ETF华夏,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,49896112.499478005,3895509.3093513018,197970.0,130216.0,2,4,next,0.0567329597110114,0.8153889264806429,0.0567329597110114,0.8153889264806429,0.0567329597110114,14.0,0.06505164084202787,-0.7586559667696314,0.0283664798555057,1.671,2.0,1.5,1.75,Positive Gamma,0.047277079593057936,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
科创50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,99457030.6794127,9821725.280695893,548858.0,1055330.0,3,4,deferred,0.1130847962267797,0.8153889264806429,0.0567329597110114,0.8153889264806429,0.0567329597110114,14.0,0.06505164084202787,-0.7586559667696314,0.05654239811338985,1.671,2.55,1.3,1.6,Positive Gamma,-0.04248952722920407,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
科创50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,13010585.769722521,1755898.0164538205,65722.0,6417.0,4,4,far,0.014793317581566061,0.8153889264806429,0.0567329597110114,0.8153889264806429,0.0567329597110114,14.0,0.06505164084202787,-0.7586559667696314,0.007396658790783031,1.671,2.15,1.45,1.6,Positive Gamma,-0.04248952722920407,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
科创50ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,131554224.0344987,16683856.785378922,388333.0,129816.0,1,4,near,0.8098205366386751,0.8098205366386751,0.03232156108571456,0.8098205366386751,0.03232156108571456,14.0,0.038380175000220125,-0.7774989755529605,0.8098205366386751,1.619,1.65,1.65,1.65,Positive Gamma,0.01914762198888198,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
科创50ETF易方达,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,5250592.811419399,377053.64288745984,22102.0,7209.0,2,4,next,0.03232156108571456,0.8098205366386751,0.03232156108571456,0.8098205366386751,0.03232156108571456,14.0,0.038380175000220125,-0.7774989755529605,0.01616078054285728,1.619,1.95,1.45,1.65,Positive Gamma,0.01914762198888198,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
科创50ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,21712995.724660978,1927777.2074941199,116389.0,57931.0,3,4,deferred,0.13366070134826755,0.8098205366386751,0.03232156108571456,0.8098205366386751,0.03232156108571456,14.0,0.038380175000220125,-0.7774989755529605,0.06683035067413377,1.619,1.6,1.25,1.6,Positive Gamma,-0.011735639283508292,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
科创50ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,3930801.7613582797,473684.94492769975,20513.0,1909.0,4,4,far,0.02419720092734263,0.8098205366386751,0.03232156108571456,0.8098205366386751,0.03232156108571456,14.0,0.038380175000220125,-0.7774989755529605,0.012098600463671314,1.619,2.1,1.4,1.6,Positive Gamma,-0.011735639283508292,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
