underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date
沪深300ETF嘉实,3月,0.44112174520549885,0.12066448005774331,0.27801456019392357,0.27801456019392357,0.04743918325066844,0.0036329219157640214,-0.0013433096760344266,0.250951129032258,0.1555,0.2662,12200463.0,7504703.0,2026-07-31
沪深300ETF嘉实,8月,0.20984461929191395,0.12046499428656847,0.29316854451548086,0.29316854451548086,0.04004399568289072,0.035665250176337746,0.000678191239207836,0.21063203883495143,0.19399999999999998,0.2382,102596430.0,48373080.0,2026-07-31
沪深300ETF嘉实,9月,0.2047590135842118,-0.005340911899686953,0.22361187913214142,0.22361187913214142,0.030667702011445995,0.019567358444701293,-0.0016452742271764428,0.23735218855218854,0.2011,0.24969999999999998,128445457.0,41347993.0,2026-07-31
深证100ETF易方达,12月,0.14558918705713386,0.08255542151038871,0.3454928001359407,0.3454928001359407,0.04819571197343661,0.005861699116268984,-0.003603235916840143,0.3008465181058496,0.267,0.31079999999999997,10692611.0,8757529.0,2026-07-31
深证100ETF易方达,3月,0.2597292724196277,-0.17175029287314852,-0.054988529196353796,-0.054988529196353796,0.057173940643647364,0.002688219899948372,-0.018944518140068384,0.35459999999999997,0.25120000000000003,0.3433,913668.0,1179591.0,2026-07-31
深证100ETF易方达,8月,0.18763455583408814,-0.016460185919750316,0.2247835438288784,0.2247835438288784,0.0352802905771231,0.03458674482132936,-0.0009566036082772526,0.3123092105263158,0.2758,0.3344,25350103.0,14516515.0,2026-07-31
深证100ETF易方达,9月,0.08796841979345266,-0.11989940606289476,-0.09621975350350735,-0.09621975350350735,0.030938522113525737,0.01809450415419037,-0.0033735252735047163,0.2876032110091743,0.3177,0.34299999999999997,20941595.0,10199340.0,2026-07-31
科创50ETF华夏,12月,0.12928900752244601,-0.04482423132960982,0.04389224537483636,0.04389224537483636,0.020585147277510953,0.005998934010303519,-0.004654771863559512,0.5151249999999999,0.49560000000000004,0.5622,466673999.0,274893839.0,2026-07-31
科创50ETF华夏,3月,0.2486193198333497,0.012797259194301597,0.13813608543112257,0.13813608543112257,0.021466463574863,0.0028607762553051782,-0.006236903584275314,0.5160499999999999,0.4337,0.562,55047027.0,40491807.0,2026-07-31
科创50ETF华夏,8月,-1.0026981450252952,-0.15336772407760246,0.13520631912859712,0.13520631912859712,0.015667339697969414,0.03627132482173512,-0.0014238692997398986,0.593,0.5947,0.0001,1295055663.0,665239969.0,2026-07-31
科创50ETF华夏,9月,0.09524668530711658,-0.04500293018776885,-0.043905905849845606,-0.043905905849845606,0.018785724253606386,0.017912740047508126,-0.0018616649010816718,0.5543499999999999,0.5374,0.5902000000000001,759295080.0,415567634.0,2026-07-31
科创50ETF易方达,12月,0.1483953282952203,-0.08332336409907495,0.027351075850482597,0.027351075850482597,0.01747910716546694,0.006254884214925209,-0.0050648836648014,0.5094500000000001,0.4989,0.5745,117466469.0,56650609.0,2026-07-31
科创50ETF易方达,3月,0.26227236737925586,-0.0011304746067927122,0.1536427935049147,0.1536427935049147,0.02128079963526122,0.002812074464933369,-0.006509730406498238,0.5052,0.4285,0.561,14566041.0,10919341.0,2026-07-31
科创50ETF易方达,8月,-1.003880335461259,-0.09802912013716218,0.23129249664104948,0.23129249664104948,0.016334597124288475,0.04015507967333392,-0.0013587736564366296,0.599175,0.6015999999999999,0.0001,207346528.0,105622353.0,2026-07-31
科创50ETF易方达,9月,0.08816914080071983,-0.007312049375759955,0.024333465838200227,0.024333465838200227,0.018846576923938034,0.01832052593688121,-0.0015719367827315342,0.55575,0.5485,0.5975,149359696.0,81893173.0,2026-07-31
