trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,adjusted_call_wall_distance,adjusted_put_wall_distance,adjusted_price_wall_distance,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,expiry_pressure,expiry_structure_state,days_to_near_expiry,roll_progress,roll_shift_score,roll_state,expiry_date_quality,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,prev_close,open_price,high_price,low_price,pct_change,amount,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2703,,,,,,,1469.5,,,1800.0,1280.0,,,1520.0,,,632.0,15.0,67044.0,,,,,,,,0.0343654304185097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2703,1469.5,1088.0,14728.0,211.0,95249250.0,1.7e-05,1440.0,1520.0,0.22490643075876138,-0.12895542701599183,-0.02007485539299081,0.0343654304185097,349.0,283.0,0.10443037974683544,520.0,0.3538618577747533,volume_wall,1440.0,-0.02007485539299081,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2704,,,,,,,1444.0,,,1760.0,1280.0,,,1520.0,,,328.0,4.0,15060.0,,,,,,,,0.05263157894736836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2704,1444.0,178.0,896.0,29.0,15372480.0,2.1e-05,1520.0,1520.0,0.21883656509695282,-0.11357340720221609,0.05263157894736836,0.05263157894736836,193.0,135.0,0.17682926829268292,480.0,0.33240997229916897,price_wall,1520.0,0.05263157894736836,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2705,,,,,,,1431.5,,,1880.0,1320.0,,,1880.0,,,864.0,155.0,559926.0,,,,,,,,0.3133077191756899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2705,1431.5,22831.0,53307.0,-2664.0,1944743800.0,3.2e-05,1560.0,1560.0,0.3133077191756899,-0.07789032483409009,0.08976597974152978,0.08976597974152978,716.0,148.0,0.6574074074074074,560.0,0.39119804400978,put_oi_wall,1320.0,-0.07789032483409009,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2706,,,,,,,1424.0,,,1760.0,1440.0,,,1200.0,,,429.0,24.0,61914.0,,,,,,,,-0.1573033707865169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2706,1424.0,27.0,261.0,-3.0,2290710.0,5.3e-05,1160.0,1200.0,0.2359550561797752,0.011235955056179803,-0.1853932584269663,-0.1573033707865169,84.0,345.0,-0.6083916083916084,320.0,0.2247191011235955,put_oi_wall,1440.0,0.011235955056179803,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2707,,,,,,,1419.0,,,1720.0,1120.0,,,1720.0,,,218.0,55.0,152814.0,,,,,,,,0.21212121212121215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2707,1419.0,14.0,182.0,4.0,1181310.0,3.5000000000000004e-05,1720.0,1720.0,0.21212121212121215,-0.21071176885130372,0.21212121212121215,0.21212121212121215,52.0,166.0,-0.5229357798165137,600.0,0.42283298097251587,put_oi_wall,1120.0,-0.21071176885130372,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2708,,,,,,,1402.0,,,1800.0,1240.0,,,1640.0,,,87.0,6.0,29886.0,,,,,,,,0.16975748930099854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2708,1402.0,7.0,125.0,5.0,590490.0,-7.400000000000001e-05,1640.0,1640.0,0.28388017118402287,-0.11554921540656204,0.16975748930099854,0.16975748930099854,58.0,29.0,0.3333333333333333,560.0,0.39942938659058486,put_oi_wall,1240.0,-0.11554921540656204,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,jm,jm,jm,DCE,2709,,,,,,,1417.5,,,1600.0,1240.0,,,1240.0,,,10.0,0.0,0.0,,,,,,,,-0.12522045855379194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,jm2709,1417.5,146.0,307.0,29.0,12350580.0,8.5e-05,1200.0,1200.0,0.12874779541446202,-0.12522045855379194,-0.1534391534391535,-0.1534391534391535,5.0,5.0,0.0,360.0,0.25396825396825395,put_oi_wall,1240.0,-0.12522045855379194,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2611,,,,,,,8627.0,,,9400.0,8000.0,,,8000.0,,,28216.0,10989.0,6051396.0,,,,,,,,-0.07267879911904485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2611,8627.0,52949.0,141189.0,166.0,2259836100.0,0.00016299999999999998,7700.0,8600.0,0.08960241103512234,-0.07267879911904485,-0.10745334415208063,-0.003129709052973273,14806.0,13410.0,0.0494754749078537,1400.0,0.16228121015416716,amount_wall,8600.0,-0.003129709052973273,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2612,,,,,,,8403.0,,,8800.0,8000.0,,,7500.0,,,5003.0,4187.0,3423398.0,,,,,,,,-0.10746162084969657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2612,8403.0,12443.0,107950.0,973.0,517034920.0,0.000157,7500.0,8300.0,0.04724503153635595,-0.047959062239676276,-0.10746162084969657,-0.01225752707366412,2504.0,2499.0,0.0009994003597841295,800.0,0.09520409377603237,amount_wall,8300.0,-0.01225752707366412,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2701,,,,,,,8235.0,,,8100.0,7200.0,,,8100.0,,,21035.0,6812.0,8154363.0,,,,,,,,-0.016393442622950838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2701,8235.0,622064.0,403256.0,-8662.0,25289075000.0,0.000173,7800.0,7800.0,-0.016393442622950838,-0.12568306010928965,-0.05282331511839711,-0.05282331511839711,11902.0,9133.0,0.1316377466127882,900.0,0.1092896174863388,call_oi_wall,8100.0,-0.016393442622950838,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2702,,,,,,,8051.0,,,9000.0,7100.0,,,7100.0,,,386.0,0.0,0.0,,,,,,,,-0.11812197242578559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2702,8051.0,4046.0,49146.0,939.0,160770710.0,0.00018700000000000002,6000.0,6000.0,0.11787355607999017,-0.11812197242578559,-0.25475096261333996,-0.25475096261333996,59.0,327.0,-0.694300518134715,1900.0,0.23599552850577568,call_oi_wall,9000.0,0.11787355607999017,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2703,,,,,,,7902.0,,,8200.0,6800.0,,,6800.0,,,109.0,0.0,0.0,,,,,,,,-0.13945836497089348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2703,7902.0,95.0,851.0,9.0,3706805.0,0.000197,6000.0,6000.0,0.03771197165274609,-0.13945836497089348,-0.24069855732725887,-0.24069855732725887,13.0,96.0,-0.7614678899082569,1400.0,0.1771703366236396,call_oi_wall,8200.0,0.03771197165274609,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2704,,,,,,,7800.0,,,8800.0,7000.0,,,7000.0,,,105.0,0.0,0.0,,,,,,,,-0.10256410256410253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2704,7800.0,3.0,345.0,1.0,116770.0,6.3e-05,6000.0,6000.0,0.1282051282051282,-0.10256410256410253,-0.23076923076923073,-0.23076923076923073,59.0,46.0,0.12380952380952381,1800.0,0.23076923076923078,put_oi_wall,7000.0,-0.10256410256410253,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2705,,,,,,,7864.0,,,8600.0,6600.0,,,6600.0,,,107.0,0.0,0.0,,,,,,,,-0.16073245167853512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2705,7864.0,19505.0,22398.0,-394.0,758290380.0,0.000212,6000.0,6000.0,0.0935910478128179,-0.16073245167853512,-0.23702950152594104,-0.23702950152594104,31.0,76.0,-0.4205607476635514,2000.0,0.254323499491353,call_oi_wall,8600.0,0.0935910478128179,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-24,COMMODITY,COMMODITY,l,l,l,DCE,2706,,,,,,,7800.0,,,7600.0,6600.0,,,6600.0,,,22.0,0.0,0.0,,,,,,,,-0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,other_month,,,,,,,,,,,,l2706,7800.0,5.0,65.0,0.0,192505.0,0.000205,6000.0,6000.0,-0.02564102564102566,-0.15384615384615385,-0.23076923076923073,-0.23076923076923073,8.0,14.0,-0.2727272727272727,1000.0,0.1282051282051282,call_oi_wall,7600.0,-0.02564102564102566,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
